ISSN,Titulo,Area de Avaliacao,Estrato,Quadrienio
2191-0855,AMB EXPRESS,ENSINO,A4,2017-2020
2191-1150,TRANSCIENCE,FILOSOFIA,A2,2017-2020
2191-1231,INTERNATIONAL JOURNAL ON DISABILITY AND HUMAN DEVELOPMENT,INTERDISCIPLINAR,B1,2017-2020
2191-1339,CIVIL PROCEDURE REVIEW,INTERDISCIPLINAR,A4,2017-2020
2191-1363,CHEMISTRYOPEN,MEDICINA II,A4,2017-2020
2191-1630,BIONANOSCIENCE,CIÊNCIAS BIOLÓGICAS I,B2,2017-2020
2191-1991,HEALTH ECONOMICS REVIEW (ONLINE),ECONOMIA,A3,2017-2020
2191-219X,EJNMMI RESEARCH,ENGENHARIAS IV,A2,2017-2020
2191-2203,MINERAL ECONOMICS,SOCIOLOGIA,A1,2017-2020
2191-2564,JOURNAL OF INTERNATIONAL ORGANIZATIONS STUDIES (ONLINE),"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",B2,2017-2020
2191-4362,SAVVY,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",B4,2017-2020
2191-6128,LANGUAGE LEARNING IN HIGHER EDUCATION,LINGUíSTICA E LITERATURA,A2,2017-2020
2191-642X,HELIX,LINGUíSTICA E LITERATURA,C,2017-2020
2191-9097,NANOTECHNOLOGY REVIEWS,MEDICINA I,A2,2017-2020
2191-9216,THE JOURNAL OF ENGLISH AS A LINGUA FRANCA (IMPRESSO),LINGUíSTICA E LITERATURA,A1,2017-2020
2191-9259,NIETZSCHEFORSCHUNG,FILOSOFIA,B1,2017-2020
2191-950X,ADVANCES IN NONLINEAR ANALYSIS,MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA,A2,2017-2020
2191-9550,GREEN PROCESSING AND SYNTHESIS,FARMÁCIA,A4,2017-2020
2192-0567,"ENERGY, SUSTAINABILITY AND SOCIETY",CIÊNCIAS AMBIENTAIS,A1,2017-2020
2192-1032,THE EUROPEAN JOURNAL OF APPLIED LINGUISTICS AND TEFL,LINGUíSTICA E LITERATURA,A3,2017-2020
2192-113X,"JOURNAL OF CLOUD COMPUTING: ADVANCES, SYSTEMS AND APPLICATIONS",ENGENHARIAS IV,A2,2017-2020
2192-1709,ECOLOGICAL PROCESSES,BIODIVERSIDADE,A3,2017-2020
2192-2209,NATURAL PRODUCTS AND BIOPROSPECTING,QUÍMICA,A3,2017-2020
2192-2659,ADVANCED HEALTHCARE MATERIALS,BIOTECNOLOGIA,A1,2017-2020
2192-3833,ZEITSCHRIFT FÜR MIP PARTEIENWISSENSCHAFTEN,CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS,B4,2017-2020
2192-4295,BILDUNGSGESCHICHTE : INTERNATIONAL JOURNAL FOR THE HISTORIOGRAPHY OF EDUCATION,EDUCAÇÃO,B3,2017-2020
2192-4376,EURO JOURNAL ON TRANSPORTATION AND LOGISTICS,CIÊNCIA DA COMPUTAÇÃO,A1,2017-2020
2192-4406,EURO JOURNAL ON COMPUTATIONAL OPTIMIZATION,INTERDISCIPLINAR,A2,2017-2020
2192-4880,INTERNATIONAL JOURNAL OF ENGINEERING PEDAGOGY (IJEP),INTERDISCIPLINAR,B1,2017-2020
2192-5372,JOURNAL OF INNOVATION AND ENTREPRENEURSHIP,ENGENHARIAS III,A2,2017-2020
2192-5682,GLOBAL SPINE JOURNAL,MEDICINA I,A2,2017-2020
2192-6352,PROGRESS IN ARTIFICIAL INTELLIGENCE,CIÊNCIA DA COMPUTAÇÃO,A3,2017-2020
2192-6395,INTERNATIONAL JOURNAL OF DISASTER RISK SCIENCE,SOCIOLOGIA,A2,2017-2020
2192-6506,CHEMPLUSCHEM [ELECTRONIC RESOURCE],FARMÁCIA,A2,2017-2020
2192-6670,NETWORK MODELING ANALYSIS IN HEALTH INFORMATICS AND BIOINFORMATICS,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",B1,2017-2020
2192-8304,JIMD REPORTS,MEDICINA II,A4,2017-2020
2192-8312,JIMD REPORTS,MEDICINA II,A4,2017-2020
2192-8576,ADVANCED OPTICAL TECHNOLOGIES (IMPRESSO),QUÍMICA,A4,2017-2020
2192-8606,NANOPHOTONICS,MATERIAIS,A1,2017-2020
2192-908X,CESCONTEXTO,INTERDISCIPLINAR,B3,2017-2020
2192-9262,"METALLOGRAPHY, MICROSTRUCTURE, AND ANALYSIS (PRINT)",MATERIAIS,A4,2017-2020
2192-9513,CHINESE JOURNAL OF APPLIED LINGUISTICS,LINGUíSTICA E LITERATURA,A2,2017-2020
2193-0872,"GEOSCIENTIFIC INSTRUMENTATION, METHODS AND DATA SYSTEMS DISCUSSIONS",GEOCIÊNCIAS,C,2017-2020
2193-1127,EPJ DATA SCIENCE,CIÊNCIA DA COMPUTAÇÃO,A1,2017-2020
2193-2409,JOURNAL OF ECONOMIC STRUCTURES,ECONOMIA,A2,2017-2020
2193-2824,HANDBOOK OF ZOOLOGY (ONLINE),CIÊNCIAS BIOLÓGICAS I,B4,2017-2020
2193-3685,JOURNAL OF CAUSAL INFERENCE,ECONOMIA,A3,2017-2020
2193-3731,ARCHIV EURO ECO,DIREITO,A4,2017-2020
2193-4126,JOURNAL OF FOOD MEASUREMENT AND CHARACTERIZATION,MATERIAIS,A4,2017-2020
2193-4134,JOURNAL OF FOOD MEASUREMENT AND CHARACTERIZATION,QUÍMICA,A4,2017-2020
2193-567X,ARABIAN JOURNAL FOR SCIENCE AND ENGINEERING (IMPRESSO),FARMÁCIA,A2,2017-2020
2193-5815,ASIAN JOURNAL OF ORGANIC CHEMISTRY,BIOTECNOLOGIA,A3,2017-2020
2193-6218,"MEDIZINISCHE KLINIK, INTENSIVMEDIZIN UND NOTFALLMEDIZIN",CIÊNCIAS BIOLÓGICAS II,A3,2017-2020
2193-6315,"JOURNAL OF NEUROLOGICAL SURGERY. PART A, CENTRAL EUROPEAN NEUROSURGERY",MEDICINA I,B1,2017-2020
2193-634X,JOURNAL OF NEUROLOGICAL SURGERY PART B: SKULL BASE,MEDICINA I,B2,2017-2020
2193-6358,JOURNAL OF NEUROLOGICAL SURGERY REPORTS,MEDICINA II,C,2017-2020
2193-6536,NEUROLOGY AND THERAPY,MEDICINA II,B1,2017-2020
2193-7192,JOURNAL OF ORNITHOLOGY,BIODIVERSIDADE,A3,2017-2020
2193-7532,AGRICULTURAL AND FOOD ECONOMICS,ECONOMIA,A3,2017-2020
2193-7680,CRIME SCIENCE,DIREITO,A1,2017-2020
2193-7869,"KRITV, CRITQ, RCRIT",DIREITO,A2,2017-2020
2193-8229,INFECTIOUS DISEASES AND THERAPY,INTERDISCIPLINAR,A2,2017-2020
2193-8245,OPHTHALMOLOGY AND THERAPY,PSICOLOGIA,A3,2017-2020
2193-8253,NEUROLOGY AND THERAPY,CIÊNCIAS BIOLÓGICAS I,B1,2017-2020
2193-8407,JOURNAL OF HOMOTOPY AND RELATED STRUCTURES,MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA,B2,2017-2020
2193-8865,JOURNAL OF NANOSTRUCTURE IN CHEMISTRY,ENGENHARIAS III,B1,2017-2020
2193-9020,IZA JOURNAL OF LABOR & DEVELOPMENT,ECONOMIA,A2,2017-2020
2193-9438,EURO JOURNAL ON DECISION PROCESSES,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",A4,2017-2020
2193-9616,IN SILICO PHARMACOLOGY,FARMÁCIA,C,2017-2020
2194-0401,STOCHASTICS AND PARTIAL DIFFERENTIAL EQUATIONS: ANALYSIS AND COMPUTATIONS,MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA,A3,2017-2020
2194-0517,PROGRESS IN BIOMATERIALS,ODONTOLOGIA,B3,2017-2020
2194-1459,MATERIALS FOR RENEWABLE AND SUSTAINABLE ENERGY,QUÍMICA,A4,2017-2020
2194-1467,MATERIALS FOR RENEWABLE AND SUSTAINABLE ENERGY,ENGENHARIAS IV,A4,2017-2020
2194-3680,JAHRBUCH FÜR GESCHICHTE LATEINAMERIKAS,HISTÓRIA,A2,2017-2020
2194-4296,ENERGY TECHNOLOGY,MATERIAIS,A2,2017-2020
2194-4946,ZEITSCHRIFT FUR KRISTALLOGRAPHIE-CRYSTALLINE MATERIALS,BIOTECNOLOGIA,B1,2017-2020
2194-511X,PROCEEDINGS IN FOOD SYSTEM DYNAMICS,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",B1,2017-2020
2194-5212,CLELE JOURNAL,LINGUíSTICA E LITERATURA,B3,2017-2020
2194-5357,ADVANCES IN INTELLIGENT SYSTEMS AND COMPUTING,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",B2,2017-2020
2194-5411,ENVIRONMENT SYSTEMS AND DECISION,ECONOMIA,A2,2017-2020
2194-668X,JOURNAL OF THE OPERATIONS RESEARCH SOCIETY OF CHINA,INTERDISCIPLINAR,B1,2017-2020
2194-6698,JOURNAL OF THE OPERATIONS RESEARCH SOCIETY OF CHINA (ONLINE),CIÊNCIA DA COMPUTAÇÃO,B1,2017-2020
2194-7228,UROLITHIASIS,NUTRIÇÃO,A3,2017-2020
2194-7414,INTERNATIONAL JOURNAL OF LANGUAGE & LAW (JLL),LINGUíSTICA E LITERATURA,C,2017-2020
2194-7511,INTERNATIONAL JOURNAL OF BIPOLAR DISORDERS,QUÍMICA,A3,2017-2020
2194-7953,PLANT REPRODUCTION,BIOTECNOLOGIA,A1,2017-2020
2194-9050,"ISPRS ANNALS OF THE PHOTOGRAMMETRY, REMOTE SENSING AND SPATIAL INFORMATION SCIENCES",PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA,A4,2017-2020
2194-9379,DRUG RESEARCH,CIÊNCIAS BIOLÓGICAS II,B1,2017-2020
2195-1071,ADVANCED OPTICAL MATERIALS,BIOTECNOLOGIA,A1,2017-2020
2195-1438,RECHTSHILFE UND NACHLASSPLANUNG IM DEUTSCH-BRASILIANISCHEN RECHTSVERKEHR ? BERICHT ZUR XXXVI. JAHRESTAGUNG DER DBJV ? J,DIREITO,C,2017-2020
2195-1721,JOURNAL OF SOFTWARE ENGINEERING RESEARCH AND DEVELOPMENT,INTERDISCIPLINAR,A4,2017-2020
2195-2698,INTERNATIONAL JOURNAL OF DYNAMICS AND CONTROL,ENGENHARIAS III,A3,2017-2020
2195-3422,THIS CENTURY'S REVIEW,DIREITO,B4,2017-2020
2195-3880,"JOURNAL OF CONTROL, AUTOMATION AND ELECTRICAL SYSTEMS (IMPRESSO)",MATERIAIS,A4,2017-2020
2195-3899,"JOURNAL OF CONTROL, AUTOMATION AND ELECTRICAL SYSTEMS",INTERDISCIPLINAR,A4,2017-2020
2195-4755,ANNALES MATHÉMATIQUES DU QUÉBEC,MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA,A4,2017-2020
2195-5832,JOURNAL OF STATISTICAL DISTRIBUTIONS AND APPLICATIONS,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",B3,2017-2020
2196-0216,CHEMELECTROCHEM,INTERDISCIPLINAR,A3,2017-2020
2196-0739,LARGE-SCALE ASSESSMENTS IN EDUCATION,EDUCAÇÃO,A3,2017-2020
2196-0763,EPJ QUANTUM TECHNOLOGY,ENGENHARIAS III,A2,2017-2020
2196-1042,PROGRESS IN ORTHODONTICS,INTERDISCIPLINAR,A4,2017-2020
2196-1093,ECONOMIC THEORY BULLETIN,ECONOMIA,A4,2017-2020
2196-1646,FEMINA POLITICA,SOCIOLOGIA,A4,2017-2020
2196-2871,PRAGREV - PRAGMATICS. REVIEWS,LINGUíSTICA E LITERATURA,C,2017-2020
2196-288X,BRAZILIAN JOURNAL OF SCIENCE AND TECHNOLOGY,INTERDISCIPLINAR,A4,2017-2020
2196-2995,CURRENT EPIDEMIOLOGY REPORTS,SAÚDE COLETIVA,A4,2017-2020
2196-3002,CURRENT ORAL HEALTH REPORTS,ODONTOLOGIA,B3,2017-2020
2196-3045,CURRENT TROPICAL MEDICINE REPORTS,MEDICINA II,B2,2017-2020
2196-3053,CURRENT TREATMENT OPTIONS IN ALLERGY,MEDICINA II,C,2017-2020
2196-4351,APPLIED ADHESION SCIENCE,ODONTOLOGIA,B1,2017-2020
2196-4378,COMPUTATIONAL PARTICLE MECHANICS,ENGENHARIAS III,A2,2017-2020
2196-4386,COMPUTATIONAL PARTICLE MECHANICS,ENGENHARIAS III,A2,2017-2020
2196-5420,JOURNAL OF MODERN POWER SYSTEMS AND CLEAN ENERGY,ENGENHARIAS IV,A2,2017-2020
2196-5471,CURRENT CLINICAL MICROBIOLOGY REPORTS,CIÊNCIAS BIOLÓGICAS II,B1,2017-2020
2196-5609,QUANTUM STUDIES: MATHEMATICS AND FOUNDATIONS,ASTRONOMIA / FÍSICA,B2,2017-2020
2196-5625,JOURNAL OF MODERN POWER SYSTEMS AND CLEAN ENERGY,ENGENHARIAS IV,A2,2017-2020
2196-5641,CHEMICAL AND BIOLOGICAL TECHNOLOGIES IN AGRICULTURE,INTERDISCIPLINAR,A2,2017-2020
2196-6311,EARTH SURFACE DYNAMICS (PRINT),GEOCIÊNCIAS,A1,2017-2020
2196-6923,EUROPEAN REVIEW OF INTERNATIONAL STUDIES,CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS,A4,2017-2020
2196-7091,SMART LEARNING ENVIRONMENTS,CIÊNCIA DA COMPUTAÇÃO,B1,2017-2020
2196-7105,ZEITSCHRIFT FÜR KRISTALLOGRAPHIE,MATERIAIS,B1,2017-2020
2196-7113,TECHNISCHES MESSEN,ENGENHARIAS III,B2,2017-2020
2196-7148,STUF - LANGUAGE TYPOLOGY AND UNIVERSALS,LINGUíSTICA E LITERATURA,A2,2017-2020
2196-7237,LASERS IN MANUFACTURING AND MATERIALS PROCESSING,MATERIAIS,A4,2017-2020
2196-7350,ADVANCED MATERIALS INTERFACES,CIÊNCIAS BIOLÓGICAS II,A1,2017-2020
2196-7865,CURRENT GERIATRICS REPORTS,INTERDISCIPLINAR,B3,2017-2020
2196-8837,JOURNAL OF RACIAL AND ETHNIC HEALTH DISPARITIES,ENSINO,A4,2017-2020
2196-8934,BEHAVIOR ANALYSIS IN PRACTICE,PSICOLOGIA,A3,2017-2020
2196-9647,MAN AND THE ECONOMIA,ECONOMIA,B2,2017-2020
2196-9736,ENDOSCOPY INTERNATIONAL OPEN,CIÊNCIA DA COMPUTAÇÃO,B3,2017-2020
2197-0025,THEORETICAL AND EXPERIMENTAL PLANT PHYSIOLOGY,BIODIVERSIDADE,A3,2017-2020
2197-0386,MOVING THE SOCIAL - JOURNAL OF SOCIAL HISTORY AND HISTORY OF SOCIAL MOVIMENTS,SOCIOLOGIA,B4,2017-2020
2197-1153,JOURNAL OF EXPERIMENTAL ORTHOPAEDICS,ENFERMAGEM,A3,2017-2020
2197-1927,TRIPLE HELIX,ECONOMIA,A4,2017-2020
2197-4241,INTERNATIONAL COMMUNICATION OF CHINESE CULTURE,HISTÓRIA,B3,2017-2020
2197-425X,INTENSIVE CARE MEDICINE EXPERIMENTAL,MEDICINA I,C,2017-2020
2197-4284,PROGRESS IN EARTH AND PLANETARY SCIENCE (ONLINE),ENGENHARIAS IV,A2,2017-2020
2197-4365,BIORESOURCES AND BIOPROCESSING.,ENGENHARIAS III,A2,2017-2020
2197-4578,ZEITSCHRIFT FUR KRISTALLOGRAPHIE-NEW CRYSTAL STRUCTURES,QUÍMICA,B3,2017-2020
2197-5248,SOUTH EASTERN EUROPEAN JOURNAL OF PUBLIC HEALTH,SAÚDE COLETIVA,B2,2017-2020
2197-5620,FOREST ECOSYSTEMS,INTERDISCIPLINAR,A1,2017-2020
2197-6775,INTERNET POLICY REVIEW,DIREITO,A1,2017-2020
2197-9553,SPRINGER GEOLOGY,GEOCIÊNCIAS,B4,2017-2020
2198-0802,FASHION AND TEXTILES: INTERNATIONAL JOURNAL OF INTERDISCIPLINARY RESEARCH (ONLINE),"ARQUITETURA, URBANISMO E DESIGN",A3,2017-2020
2198-1833,JOURNAL OF PUBLIC HEALTH: FROM THEORY TO PRACTICE,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",B2,2017-2020
2198-1957,GLOBAL DIALOGUES (PRINT),DIREITO,A3,2017-2020
2198-2783,INTERNATIONAL JOURNAL OF GEO-ENGINEERING,ENGENHARIAS I,B1,2017-2020
2198-2791,INTERNATIONAL JOURNAL OF MECHANICAL AND MATERIALS ENGINEERING (ELECTRONIC),ENGENHARIAS III,A3,2017-2020
2198-3534,BANDUNG: JOURNAL OF THE GLOBAL SOUTH,COMUNICAÇÃO E INFORMAÇÃO,A2,2017-2020
2198-3844,ADVANCED SCIENCE,MEDICINA II,A1,2017-2020
2198-4018,BRAIN INFORMATICS,CIÊNCIAS BIOLÓGICAS II,A1,2017-2020
2198-4034,INTERNATIONAL JOURNAL OF IMPLANT DENTISTRY,BIOTECNOLOGIA,B3,2017-2020
2198-4220,JOURNAL OF BIO- AND TRIBO-CORROSION,MATERIAIS,A2,2017-2020
2198-5634,NONLINEAR PROCESSES IN GEOPHYSICS DISCUSSIONS,GEOCIÊNCIAS,C,2017-2020
2198-5812,ANNALS OF DATA SCIENCE,INTERDISCIPLINAR,A4,2017-2020
2198-591X,THE INTERNATIONAL JOURNAL OF ESTHETIC DENTISTRY,FARMÁCIA,A3,2017-2020
2198-5928,THE EUROPEAN JOURNAL OF ESTHETIC DENTISTRY (DEUTSCHE AUSGABE),ODONTOLOGIA,C,2017-2020
2198-6061,CURRENT CLIMATE CHANGE REPORTS,GEOCIÊNCIAS,A1,2017-2020
2198-6088,CURRENT TREATMENT OPTIONS IN PEDIATRICS,MEDICINA II,B3,2017-2020
2198-6401,CURRENT SLEEP MEDICINE REPORTS (ONLINE),MEDICINA II,B2,2017-2020
2198-641X,CURRENT PHARMACOLOGICAL REPORTS,MEDICINA I,B1,2017-2020
2198-6436,CURRENT FORESTRY REPORTS,INTERDISCIPLINAR,A1,2017-2020
2198-6444,JOURNAL OF OCEAN ENGINEERING AND MARINE ENERGY (PRINT),ENGENHARIAS III,A1,2017-2020
2198-6592,CURRENT POLLUTION REPORTS (ONLINE),GEOCIÊNCIAS,A1,2017-2020
2198-7491,ENVIRONMENTAL PROCESSES,INTERDISCIPLINAR,A3,2017-2020
2198-9281,OPEN JOURNAL OF INFORMATION SYSTEMS,GEOGRAFIA,B2,2017-2020
2198-963X,JOURNAL OF PSYCHOSOCIAL REHABILITATION AND MENTAL HEALTH,ENFERMAGEM,B2,2017-2020
2198-9761,SPORTS MEDICINE - OPEN (ONLINE),EDUCAÇÃO FÍSICA,A2,2017-2020
2199-1197,CLINICAL PHYTOSCIENCE (ONLINE),FARMÁCIA,C,2017-2020
2199-1413,MINIMAX THEORY AND ITS APPLICATIONS,MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA,A3,2017-2020
2199-157X,PLANTA MEDICA LETTERS,CIÊNCIAS BIOLÓGICAS II,C,2017-2020
2199-160X,ADVANCED ELECTRONIC MATERIALS,INTERDISCIPLINAR,A1,2017-2020
2199-2401,MAMMAL RESEARCH (PRINT),BIODIVERSIDADE,A3,2017-2020
2199-3793,CHEMTEXTS,BIOTECNOLOGIA,B1,2017-2020
2199-3823,JOURNAL OF SUSTAINABLE METALLURGY (IMPRESSO),ENGENHARIAS III,A2,2017-2020
2199-3831,JOURNAL OF SUSTAINABLE METALLURGY,MATERIAIS,A2,2017-2020
2199-3858,SHAPE MEMORY AND SUPERELASTICITY,MATERIAIS,A4,2017-2020
2199-398X,SOIL,INTERDISCIPLINAR,A1,2017-2020
2199-465X,JOURNAL OF DEVELOPMENTAL AND LIFE-COURSE CRIMINOLOGY,MEDICINA I,A4,2017-2020
2199-4676,JOURNAL OF RELIABLE INTELLIGENT ENVIRONMENTS,ENGENHARIAS IV,A3,2017-2020
2199-4730,FINANCIAL INNOVATION,ENGENHARIAS III,A1,2017-2020
2199-4749,MARINE SYSTEMS & OCEAN TECHNOLOGY (ONLINE),ENGENHARIAS III,B2,2017-2020
2199-5125,INTERNATIONALISATION OF HIGHER EDUCATION,INTERDISCIPLINAR,B3,2017-2020
2199-675X,EUROPEAN JOURNAL OF MATHEMATICS (PRINT),MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA,A4,2017-2020
2199-692X,CHEMNANOMAT,INTERDISCIPLINAR,A2,2017-2020
2199-7454,JOURNAL OF DYNAMIC BEHAVIOR OF MATERIALS,ENGENHARIAS III,A2,2017-2020
2199-7594,BRASILICUM,INTERDISCIPLINAR,B3,2017-2020
2199-8531,"JOURNAL OF OPEN INNOVATION: TECHNOLOGY, MARKET, AND COMPLEXITY (JOITMC)",INTERDISCIPLINAR,A1,2017-2020
2199-8981,PROCEEDINGS OF THE INTERNATIONAL ASSOCIATION OF HYDROLOGICAL SCIENCES,CIÊNCIAS AGRÁRIAS I,B1,2017-2020
2199-9031,INTERNATIONAL JOURNAL OF HEALTH ECONOMICS AND MANAGEMENT,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",A3,2017-2020
2199-9279,INTERNATIONAL JOURNAL OF GEOSYNTHETICS AND GROUND ENGINEERING,ENGENHARIAS I,A4,2017-2020
2200-4270,INTERNATIONAL JOURNAL OF INNOVATION IN SCIENCE AND MATHEMATICS EDUCATION,PSICOLOGIA,A4,2017-2020
2201-1919,ENVIRONMENTAL HUMANITIES,HISTÓRIA,A1,2017-2020
2202-2783,SOUTHERN SEMIOTIC REVIEW,COMUNICAÇÃO E INFORMAÇÃO,B3,2017-2020
2202-3518,THE AUSTRALASIAN JOURNAL OF COMBINATORICS,MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA,B1,2017-2020
2202-4433,THE JBI DATABASE OF SYSTEMATIC REVIEWS AND IMPLEMENTATION REPORTS,ENSINO,A2,2017-2020
2202-8005,"INTERNATIONAL JOURNAL FOR CRIME, JUSTICE AND SOCIAL DEMOCRACY",DIREITO,A1,2017-2020
2202-9451,INTERNATIONAL JOURNAL OF COMPARATIVE LITERATURE & TRANSLATION STUDIES,SOCIOLOGIA,A4,2017-2020
2202-946X,INTERNATIONAL JOURNAL OF KINESIOLOGY AND SPORTS SCIENCE,ENFERMAGEM,B2,2017-2020
2203-4382,ANZMAGAZINE - MAGAZINE OF THE AUSTRALIAN AND NEW ZEALAND SOCIETY FOR MAGNETIC RESONANCE,CIÊNCIAS AGRÁRIAS I,C,2017-2020
2204-2482,JORNAL DE FILOSOFIA NAS ESCOLAS,EDUCAÇÃO,A2,2017-2020
2205-3212,INTERNATIONAL REVIEW OF ENVIRONMENTAL HISTORY,HISTÓRIA,C,2017-2020
2205-6181,ASIA PACIFIC JOURNAL OF CONTEMPORARY EDUCATION AND COMUNICATION TECHNOLOGY (APJCECT),EDUCAÇÃO,B1,2017-2020
2206-3552,JOURNAL OF BONE & JOINT INFECTION,CIÊNCIAS BIOLÓGICAS II,C,2017-2020
2206-5857,JOURNAL OF ALTERNATIVE AND COMMUNITY MEDIA,COMUNICAÇÃO E INFORMAÇÃO,A4,2017-2020
2206-9658,THE JOURNAL OF PUBLIC SPACE,"ARQUITETURA, URBANISMO E DESIGN",B1,2017-2020
2207-0001,JOURNAL OF BIOMEDICINE,BIOTECNOLOGIA,C,2017-2020
2207-7472,AUSTRALASIAN ORTHODONTIC JOURNAL,ODONTOLOGIA,B4,2017-2020
2208-2425,JOURNAL OF ADVANCE RESEARCH IN MEDICAL & HEALTH SCIENCE,INTERDISCIPLINAR,B3,2017-2020
2210-142X,INTERNATIONAL JOURNAL OF COMPUTING AND DIGITAL SYSTEMS,ENGENHARIAS IV,B3,2017-2020
2210-2116,JOURNAL OF HISTORICAL LINGUISTICS,LINGUíSTICA E LITERATURA,A2,2017-2020
2210-2612,INTERNATIONAL JOURNAL OS SURGERY CASE REPORTS,MEDICINA I,B2,2017-2020
2210-271X,COMPUT THEOR CHEM,FARMÁCIA,A4,2017-2020
2210-304X,DRUG DELIVERY LETTERS,CIÊNCIA DE ALIMENTOS,B4,2017-2020
2210-3155,THE NATURAL PRODUCTS JOURNAL (PRINT),ZOOTECNIA / RECURSOS PESQUEIROS,B2,2017-2020
2210-3163,THE NATURAL PRODUCTS JOURNAL,MEDICINA II,B2,2017-2020
2210-4917,"JOURNAL OF ORTHOPAEDICS, TRAUMA AND REHABILITATION",MEDICINA II,B3,2017-2020
2210-5220,BIOMEDICINE & AGING PATHOLOGY,MEDICINA I,C,2017-2020
2210-5379,SUSTAINABLE COMPUTING: INFORMATICS AND SYSTEMS,ENGENHARIAS IV,A2,2017-2020
2210-5395,RESEARCH IN TRANSPORTATION BUSINESS & MANAGEMENT,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",A1,2017-2020
2210-5433,PHILOSOPHY & TECHNOLOGY,COMUNICAÇÃO E INFORMAÇÃO,A1,2017-2020
2210-5697,INTERNATIONAL JOURNAL FOR THE STUDY OF SKEPTICISM,FILOSOFIA,A2,2017-2020
2210-6014,JOURNAL OF EPIDEMIOLOGY AND GLOBAL HEALTH,ODONTOLOGIA,A4,2017-2020
2210-6340,IMA FUNGUS,BIOTECNOLOGIA,A1,2017-2020
2210-6499,FARMING MATTERS: SMALL SCALE AGRICULTURE FOR A SUSTAINABLE SOCIETY,CIÊNCIAS AGRÁRIAS I,B4,2017-2020
2210-6502,SWARM AND EVOLUTIONARY COMPUTATION,CIÊNCIA DA COMPUTAÇÃO,A1,2017-2020
2210-6561,"LEARNING, CULTURE AND SOCIAL INTERACTION (PRINT)","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",B4,2017-2020
2210-6707,SUSTAINABLE CITIES AND SOCIETY,CIÊNCIA DA COMPUTAÇÃO,A1,2017-2020
2210-6812,NANOSCIENCE & NANOTECHNOLOGY ASIA,FARMÁCIA,B2,2017-2020
2210-7177,ANALYTICAL CELLULAR PATHOLOGY,MEDICINA I,A4,2017-2020
2210-7401,CLINICS AND RESEARCH IN HEPATOLOGY AND GASTROENTEROLOGY,FARMÁCIA,A4,2017-2020
2210-7703,INTERNATIONAL JOURNAL OF CLINICAL PHARMACOLOGY & THERAPEUTICS WEBSITE,CIÊNCIAS AMBIENTAIS,A1,2017-2020
2210-7711,INTERNATIONAL JOURNAL OF CLINICAL PHARMACY (ONLINE),MEDICINA II,A1,2017-2020
2210-7762,CANCER GENETICS,MEDICINA III,A4,2017-2020
2210-7789,PREGNANCY HYPERTENSION: AN INTERNATIONAL JOURNAL OF WOMEN'S CARDIOVASCULAR HEALTH,MEDICINA I,A4,2017-2020
2210-8033,JOURNAL OF HERBAL MEDICINE,BIODIVERSIDADE,A3,2017-2020
2210-8327,APPLIED COMPUTING AND INFORMATICS,CIÊNCIA DA COMPUTAÇÃO,A1,2017-2020
2210-8335,JOURNAL OF CLINICAL GERONTOLOGY AND GERIATRICS,EDUCAÇÃO FÍSICA,B2,2017-2020
2211-0348,MULTIPLE SCLEROSIS AND RELATED DISORDERS,MEDICINA II,A4,2017-2020
2211-0356,MULTIPLE SCLEROSIS AND RELATED DISORDERS,MEDICINA I,A4,2017-2020
2211-1247,CELL REPORTS,NUTRIÇÃO,A1,2017-2020
2211-2855,NANO ENERGY,CIÊNCIAS AGRÁRIAS I,A1,2017-2020
